nodes,total swaps,optimal direct path sum,worst direct path sum,total pairs consumed,total bell pairs
20,15719,4757,4757,3442,600
30,33084,10142,10142,3752,1106
40,38532,9153,9153,2677,3862
50,27197,7785,7785,2586,2177
60,70319,10604,10604,2252,5860
70,87558,14944,14944,2629,7463
