distillation pairs,total swaps,optimal direct path sum,worst direct path sum,total pairs consumed,total bell pairs
1,2246877,1390385,1390385,251237,1220
2,829548,596996,7632236,6146,1347
3,500161,84093,9174003,141,2148
4,357172,0,0,0,2149
5,277531,0,0,0,2192
6,227273,3720,17580,4,2083
7,192413,0,0,0,2372
