swap rate,total swaps,optimal direct path sum,worst direct path sum,total pairs consumed,total bell pairs
150,647606,243211,243211,77073,24471
200,703552,269164,269164,85224,22788
250,534316,205847,205847,65068,16354
300,564116,218426,218426,69398,14263
350,427666,166736,166736,52742,10643
400,323183,125847,125847,39862,8759
