nodes,total swaps,optimal direct path sum,worst direct path sum,total pairs consumed,total bell pairs
20,23233,11795,11795,3535,738
30,52461,29774,29774,4668,2213
40,48625,23917,23917,2755,2688
50,104144,48966,48966,4153,3667
60,92980,27762,27762,1907,4816
70,144301,37534,37534,2437,5888
